,time_code,emotion_values.grief,emotion_values.joy,emotion_values.disgust,emotion_values.outofbreath,emotion_values.pain,emotion_values.amazement,emotion_values.anger,emotion_values.cheekiness,emotion_values.sadness,emotion_values.fear
0,0.0,0.0,0.3046833872795105,0.0,0.0,0.0,0.0,0.0653870478272438,0.0,0.0,0.01216061320155859
1,0.0,0.0,0.3869740068912506,0.0,0.0,0.0,0.0,0.05414244905114174,0.0,0.0,0.009014317765831947
2,0.0,0.0,0.4434523582458496,0.0,0.0,0.0,0.0,0.04688357561826706,0.0,0.0,0.0069609712809324265
3,0.333125,0.0,0.4644274115562439,0.0,0.0,0.0,0.0,0.0652017593383789,0.0,0.0,0.005900445394217968
4,0.66625,0.0,0.4986559748649597,0.0,0.0,0.0,0.0,0.05570519343018532,0.0,0.0,0.0046093398705124855
5,0.999375,0.0,0.227399542927742,0.0005930795450694859,0.0,0.0,0.0,0.040539540350437164,0.0,0.0,0.3032265603542328
6,1.3325,0.0,0.2476397156715393,0.0011323490180075169,0.0,0.0,0.0,0.029668008908629417,0.0,0.0,0.30225858092308044
7,1.665625,0.0,0.24899469316005707,0.0010437477612867951,0.0,0.0,0.0,0.04351535439491272,0.0,0.0,0.3015810251235962
8,1.99875,0.0,0.18738940358161926,0.0010275021195411682,0.0,0.0,0.0,0.11204464733600616,0.0,0.0,0.301106721162796
9,2.331875,0.0,0.20356912910938263,0.0017042635008692741,0.0,0.0,0.0,0.09554222226142883,0.0,0.0,0.3007746934890747
10,2.665,0.0,0.21216481924057007,0.0033827016595751047,0.0,0.0,0.0,0.07362102717161179,0.0,0.0,0.30054229497909546
11,2.998125,0.0,0.15102173388004303,0.0043432340025901794,0.0,0.0,0.0,0.05153471976518631,0.0,0.0,0.38356471061706543
12,3.33125,0.0,0.10571521520614624,0.003040263894945383,0.0,0.0,0.0,0.03716754913330078,0.0,0.0008873870247043669,0.4469434320926666
13,3.664375,0.0,0.0763368085026741,0.002128184773027897,0.0,0.0,0.0,0.03693148121237755,0.0,0.0006211709114722908,0.4788687825202942
14,3.9975,0.0,0.07369258999824524,0.0014897292712703347,0.0,0.0,0.0,0.028997240588068962,0.0,0.00043481963803060353,0.48239853978157043
15,4.330625,0.0,0.06623490899801254,0.0010428105015307665,0.0,0.0,0.0,0.02473629079759121,0.0,0.00030437373789027333,0.4876929819583893
16,4.66375,0.0,0.06853611022233963,0.00072996731614694,0.0,0.0,0.0,0.02331756055355072,0.0,0.00021306161943357438,0.4745294153690338
